Country,Year,Petroleum Consumption,Refined Products Consumption,Motor Gasoline Consumption,Jet Fuel Consumption,Kerosene Consumption,Distillate Fuel Oil Consumption,Residual Fuel Oil Consumption,LPG Consumption,Other Products Consumption,Production of Crude Oil,NGPL Production
Africa,1980,3.082908,3.082908,NA,NA,NA,NA,NA,NA,NA,12.9789101,0.16135476
Africa,1981,3.296943,3.296943,NA,NA,NA,NA,NA,NA,NA,10.079,0.178
Africa,1982,3.462121,3.462121,NA,NA,NA,NA,NA,NA,NA,9.995,0.208
Africa,1983,3.539121,3.539121,NA,NA,NA,NA,NA,NA,NA,10.024,0.197
Africa,1984,3.682132,3.682132,NA,NA,NA,NA,NA,NA,NA,10.859,0.29
Africa,1985,3.801054,3.801054,NA,NA,NA,NA,NA,NA,NA,11.364,0.285
Africa,1986,3.794859313,3.794859313,0.758072114,0.207975785,0.260993558,1.049051977,1.034577212,0.121598354,0.362590314,11.212,0.314
Africa,1987,3.835313173,3.835313173,0.742382771,0.215104205,0.261205045,1.086214411,0.987668886,0.130674711,0.412063144,11.116,0.339
Africa,1988,3.9784654,3.9784654,0.766256868,0.204123101,0.27768137,1.115819671,1.052294441,0.141453554,0.420836395,11.851,0.361
Africa,1989,4.131469415,4.131469415,0.80089479,0.221781649,0.258321831,1.176470925,1.066329094,0.149369799,0.458301327,12.64,0.386
Africa,1990,4.32105444,4.32105444,0.818429937,0.222700136,0.263191462,1.20979611,1.174205986,0.153359733,0.479371077,13.619,0.386
Africa,1991,4.409043574,4.409043574,0.928070754,0.236642136,0.283457758,1.203471372,1.170541239,0.160280264,0.426580051,14.093,0.413
Africa,1992,4.482043455,4.482043455,0.945975568,0.249137051,0.268831304,1.272698445,1.143597096,0.174632812,0.42717118,14.304,0.36
Africa,1993,4.497086621,4.497086621,0.93010114,0.247949909,0.256999161,1.274704554,1.130632329,0.189612579,0.467086951,14.063,0.391
Africa,1994,4.549088504,4.549088504,0.931208623,0.258711569,0.259112544,1.299379503,1.179095741,0.156053477,0.465527047,14.077,0.382
Africa,1995,4.672088504,4.672088504,0.964063952,0.2589184,0.260071015,1.333966611,1.11089918,0.174734159,0.569435188,14.639,0.388
Africa,1996,4.796088263,4.796088263,0.951898327,0.24012022,0.316649021,1.338467108,1.056186378,0.165576931,0.727190279,15.061,0.416
Africa,1997,4.923088504,4.923088504,0.950220414,0.284373989,0.230552754,1.433931789,1.131177218,0.208117254,0.684715086,15.546,0.473
